Date,Unemployment_Rate_MI,Unemployment_Rate_US,Rank,Highlights
Mar-12,0.091,0.082,44,
Apr-12,0.092,0.082,45,
May-12,0.092,0.082,42,
Jun-12,0.092,0.082,43,
Jul-12,0.092,0.082,43,
Aug-12,0.091,0.081,43,
Sep-12,0.091,0.078,43,
Oct-12,0.09,0.078,44,
Nov-12,0.09,0.077,44,
Dec-12,0.091,0.079,44,
Jan-13,0.091,0.08,45,
Feb-13,0.091,0.077,46,
Mar-13,0.09,0.075,46,
Apr-13,0.089,0.076,46,
May-13,0.089,0.075,45,
Jun-13,0.088,0.075,45,
Jul-13,0.088,0.073,45,
Aug-13,0.088,0.073,45,
Sep-13,0.087,0.073,46,
Oct-13,0.086,0.072,46,
Nov-13,0.084,0.069,46,
Dec-13,0.083,0.067,46,
Jan-14,0.081,0.066,45,
Feb-14,0.08,0.067,38,
Mar-14,0.079,0.067,38,
Apr-14,0.077,0.062,36,
May-14,0.075,0.062,45,
Jun-14,0.074,0.061,45,
Jul-14,0.072,0.062,46,
Aug-14,0.07,0.062,46,
Sep-14,0.068,0.06,45,
Oct-14,0.066,0.057,45,
Nov-14,0.064,0.058,44,
Dec-14,0.062,0.056,43,
Jan-15,0.06,0.057,34,
Feb-15,0.059,0.055,28,
Mar-15,0.058,0.055,28,
Apr-15,0.057,0.054,29,
May-15,0.056,0.055,34,
Jun-15,0.055,0.053,32,
Jul-15,0.053,0.053,31,
Aug-15,0.052,0.051,31,
Sep-15,0.051,0.051,31,
Oct-15,0.05,0.05,27,
Nov-15,0.049,0.05,28,
Dec-15,0.049,0.05,28,
Jan-16,0.049,0.049,27,
Feb-16,0.049,0.049,32,
Mar-16,0.049,0.05,36,
Apr-16,0.049,0.05,36,
May-16,0.049,0.047,28,
Jun-16,0.049,0.049,27,
Jul-16,0.05,0.049,26,
Aug-16,0.05,0.049,25,
Sep-16,0.051,0.05,25,
Oct-16,0.051,0.049,26,
Nov-16,0.052,0.046,26,
Dec-16,0.051,0.047,31,
Jan-17,0.05,0.048,38,
Feb-17,0.048,0.047,43,
Mar-17,0.046,0.045,43,
Apr-17,0.044,0.044,32,
May-17,0.044,0.043,26,
Jun-17,0.044,0.044,20,
Jul-17,0.045,0.043,15,
Aug-17,0.046,0.044,18,
Sep-17,0.047,0.042,31,
Oct-17,0.047,0.041,33,
Nov-17,0.047,0.041,35,
Dec-17,0.047,0.041,42,
Jan-18,0.047,0.041,39,
Feb-18,0.048,0.041,44,
Mar-18,0.047,0.041,43,
Apr-18,0.047,0.039,43,
May-18,0.046,0.038,42,
June-18,0.045,0.04,40,Michigan’s seasonally adjusted unemployment rate remained 4.5 percent in June. The jobless rate is 0.1 percentage points above the rate marked in June 2017.
Jan-76,0.099,0.079,,
Feb-76,0.099,0.077,,
Mar-76,0.099,0.076,,
Apr-76,0.098,0.077,,
May-76,0.096,0.074,,
Jun-76,0.094,0.076,,
Jul-76,0.092,0.078,,
Aug-76,0.091,0.078,,
Sep-76,0.09,0.076,,
Oct-76,0.09,0.077,,
Nov-76,0.09,0.078,,
Dec-76,0.09,0.078,,
Jan-77,0.089,0.075,,
Feb-77,0.088,0.076,,
Mar-77,0.086,0.074,,
Apr-77,0.084,0.072,,
May-77,0.083,0.07,,
Jun-77,0.082,0.072,,
Jul-77,0.082,0.069,,
Aug-77,0.081,0.07,,
Sep-77,0.08,0.068,,
Oct-77,0.079,0.068,,
Nov-77,0.077,0.068,,
Dec-77,0.075,0.064,,
Jan-78,0.072,0.064,,
Feb-78,0.07,0.063,,
Mar-78,0.069,0.063,,
Apr-78,0.068,0.061,,
May-78,0.068,0.06,,
Jun-78,0.068,0.059,,
Jul-78,0.069,0.062,,
Aug-78,0.069,0.059,,
Sep-78,0.07,0.06,,
Oct-78,0.07,0.058,,
Nov-78,0.071,0.059,,
Dec-78,0.071,0.06,,
Jan-79,0.072,0.059,,
Feb-79,0.072,0.059,,
Mar-79,0.072,0.058,,
Apr-79,0.072,0.058,,
May-79,0.073,0.056,,
Jun-79,0.074,0.057,,
Jul-79,0.076,0.057,,
Aug-79,0.079,0.06,,
Sep-79,0.082,0.059,,
Oct-79,0.085,0.06,,
Nov-79,0.088,0.059,,
Dec-79,0.092,0.06,,
Jan-80,0.097,0.063,,
Feb-80,0.104,0.063,,
Mar-80,0.113,0.063,,
Apr-80,0.122,0.069,,
May-80,0.129,0.075,,
Jun-80,0.134,0.076,,
Jul-80,0.136,0.078,,
Aug-80,0.135,0.077,,
Sep-80,0.132,0.075,,
Oct-80,0.129,0.075,,
Nov-80,0.126,0.075,,
Dec-80,0.125,0.072,,
Jan-81,0.124,0.075,,
Feb-81,0.122,0.074,,
Mar-81,0.121,0.074,,
Apr-81,0.119,0.072,,
May-81,0.118,0.075,,
Jun-81,0.117,0.075,,
Jul-81,0.118,0.072,,
Aug-81,0.12,0.074,,
Sep-81,0.124,0.076,,
Oct-81,0.129,0.079,,
Nov-81,0.135,0.083,,
Dec-81,0.14,0.085,,
Jan-82,0.144,0.086,,
Feb-82,0.147,0.089,,
Mar-82,0.148,0.09,,
Apr-82,0.149,0.093,,
May-82,0.149,0.094,,
Jun-82,0.149,0.096,,
Jul-82,0.151,0.098,,
Aug-82,0.154,0.098,,
Sep-82,0.158,0.101,,
Oct-82,0.162,0.104,,
Nov-82,0.164,0.108,,
Dec-82,0.165,0.108,,
Jan-83,0.164,0.104,,
